sourceHandle,sourceTitle,sourceImage,sourceCode,referenceCount,cand1_gid,cand1_handle,cand1_title,cand1_score,cand2_gid,cand2_handle,cand2_title,cand2_score,cand3_gid,cand3_handle,cand3_title,cand3_score,accepted_gid
zazvor-kurkuma-sypany-bio,Zázvor Kurkuma sypaný bio balení,https://www.sonnentor.com/cz/product-images/00875/60563/image-thumb__60563__product-teaser-img/00875.8e652fa2.jpg,00875,6,gid://shopify/Product/15821917159758,kurkuma-latte-zazvor-bio-230-g-gastro-baleni,"Kurkuma Latte - zázvor bio 230 g, gastro balení",0.500,gid://shopify/Product/15821917225294,kurkuma-latte-zazvor-bio-60g,Kurkuma Latte - zázvor bio 60g,0.429,gid://shopify/Product/15821917126990,kurkuma-latte-zazvor-bio-60g-doza,Kurkuma Latte - zázvor bio 60g dóza,0.375,
zazvor-citron-sypany-bio,Zázvor Citron sypaný bio balení,https://www.sonnentor.com/cz/product-images/00852/33810/image-thumb__33810__product-teaser-img/00852.e9db6cb0.jpg,00852,1,gid://shopify/Product/15821911982414,zazvor-citron-sirup-bio-500-ml,Zázvor-citron sirup bio 500 ml,0.375,gid://shopify/Product/15821917159758,kurkuma-latte-zazvor-bio-230-g-gastro-baleni,"Kurkuma Latte - zázvor bio 230 g, gastro balení",0.333,gid://shopify/Product/15821920895310,zazvorcitron-bio-324g-porc-dvoukomorovy,"Zázvor–citron bio 32,4g porc. dvoukomorový",0.333,
zazvor-energie-sypany-bio,Zázvor Energie sypaný bio balení,https://www.sonnentor.com/cz/product-images/00851/33655/image-thumb__33655__product-teaser-img/00851.fb45fc0c.jpg,00851,2,gid://shopify/Product/15821920797006,zazvor-energie-bio-324-g-porc-dvoukomorovy,"Zázvor Energie bio 32,4 g, porc. dvoukomorový",0.375,gid://shopify/Product/15821917159758,kurkuma-latte-zazvor-bio-230-g-gastro-baleni,"Kurkuma Latte - zázvor bio 230 g, gastro balení",0.333,gid://shopify/Product/15821908181326,zazvor-kandovany-bio-75g,Zázvor kandovaný bio 75g,0.286,
pampeliskove-kafe-bio-doza,Pampeliškové kafe bio dóza,https://www.sonnentor.com/cz/product-images/00640/72406/image-thumb__72406__product-teaser-img/00640.0e185f0c.jpg,00640,10,gid://shopify/Product/15821918536014,holy-veggie-bio-90-g-doza,"Holy Veggie bio 90 g, dóza",0.286,gid://shopify/Product/15821918765390,steak-that-bio-150g-doza,"Steak That bio 150g, dóza",0.286,gid://shopify/Product/15821917126990,kurkuma-latte-zazvor-bio-60g-doza,Kurkuma Latte - zázvor bio 60g dóza,0.250,
kuc-kuc-sirup-bio,Kuc-kuc® sirup bio,https://www.sonnentor.com/cz/product-images/00633/34908/image-thumb__34908__product-teaser-img/00633.be8435e1.jpg,00633,4,gid://shopify/Product/15821909885262,kuc-kuc-bio-50-g-syp,"Kuc - kuc®  bio 50 g, syp.",0.400,gid://shopify/Product/15821908705614,malina-sirup-bio-500-ml,Malina sirup bio 500 ml,0.333,gid://shopify/Product/15821909852494,kuc-kuc-bio-27g-porcdvoukomorovy,Kuc - kuc® bio 27g porc.dvoukomorový,0.333,
lehci-nez-pirko-caj-bio-porcovany-dvoukomorovy,Lehčí než pírko® bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02709/34452/image-thumb__34452__product-teaser-img/02709.fdc39e35.jpg,02709,7,gid://shopify/Product/15821909852494,kuc-kuc-bio-27g-porcdvoukomorovy,Kuc - kuc® bio 27g porc.dvoukomorový,0.222,gid://shopify/Product/15821911261518,dekuji-bio-27g-porc-dvoukomorovy,Děkuji bio 27g porc. dvoukomorový,0.222,gid://shopify/Product/15821913293134,uvolneni-bio-27g-porc-dvoukomorovy,Uvolnění bio 27g porc. dvoukomorový,0.222,
vesele-velikonoce-bio-porcovany-dvoukomorovy,Veselé Velikonoce bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02577/35044/image-thumb__35044__product-teaser-img/02577_Vesele%CC%81%20Velikonoce.cfad1b4b.jpg,,8,gid://shopify/Product/15821918044494,vesele-velikonoce-bio-27g-porc-dvoukomorovy,Veselé Velikonoce! bio 27g porc. dvoukomorový,0.571,gid://shopify/Product/15821917978958,vesele-velikonoce-bio-syp-60g,Veselé Velikonoce bio syp. 60g,0.429,gid://shopify/Product/15821909852494,kuc-kuc-bio-27g-porcdvoukomorovy,Kuc - kuc® bio 27g porc.dvoukomorový,0.250,
vesele-velikonoce-sypany-bio,Veselé Velikonoce sypané bio balení,https://www.sonnentor.com/cz/product-images/00577/35043/image-thumb__35043__product-teaser-img/00577_vesele_velikonoce%20NEW.abcf8751.jpg,,5,gid://shopify/Product/15821917978958,vesele-velikonoce-bio-syp-60g,Veselé Velikonoce bio syp. 60g,0.429,gid://shopify/Product/15821918044494,vesele-velikonoce-bio-27g-porc-dvoukomorovy,Veselé Velikonoce! bio 27g porc. dvoukomorový,0.375,gid://shopify/Product/15821922402638,darkove-baleni-2-caju-velikonoce,Dárkové balení 2 čajů - Velikonoce,0.286,
velikonocni-zajicek-caj-sypany-bio,Velikonoční zajíček sypaný bio balení,https://www.sonnentor.com/cz/product-images/00567/34483/image-thumb__34483__product-teaser-img/00567.946acc67.jpg,00567,2,gid://shopify/Product/15821909229902,majoranka-bio-110-g-gastro-baleni,"Majoránka bio 110 g, gastro balení",0.250,gid://shopify/Product/15821907198286,kmin-bio-cely-600-g-gastro-baleni,"Kmín bio, celý 600 g, gastro balení",0.222,gid://shopify/Product/15821907263822,kmin-bio-mlety-580-g-gastro-baleni,"Kmín bio, mletý 580 g, gastro balení",0.222,
zlaty-kurkumovy-med-bio,medu,,,1,,,,,,,,,,,,,
mandarinka-etericky-olej-bio,mandarinka,https://www.sonnentor.com/cz/product-images/15027/33948/image-thumb__33948__product-teaser-img/15027.4a9c2f3a.jpg,15027,3,,,,,,,,,,,,,
klicivy-mix-bio-krabicka,Klíčivý mix bio krabička,https://www.sonnentor.com/cz/product-images/00108/33663/image-thumb__33663__product-teaser-img/00108.295b97d5.jpg,00108,1,,,,,,,,,,,,,
andel-strazny-etericky-olej-bio,10 kapek éterického oleje Anděl strážný,https://www.sonnentor.com/cz/product-images/15095/33924/image-thumb__33924__product-teaser-img/15095.2934dbcd.jpg,15095,3,gid://shopify/Product/15821934788942,andel-strazny-etericky-olej-bio-10-ml,Anděl strážný éterický olej bio 10 ml,0.300,gid://shopify/Product/15821914177870,keksy-andel-strazny-bio-125-g,Keksy Anděl strážný® bio 125 g,0.222,gid://shopify/Product/15821908148558,andel-strazny-bio-27-g-porc-dvoukomorovy,Anděl strážný® bio 27 g porc. dvoukomorový,0.200,
english-tea-assam-cerny-caj-bio-porcovany-dvoukomorovy,Assam,,,1,,,,,,,,,,,,,
jarni-polibeni-bylinna-smes-bio-porcovany-dvoukomorovy,Jarní políbení,https://www.sonnentor.com/cz/product-images/02263/34010/image-thumb__34010__product-teaser-img/02263_jarni_polibeni_new.98b42d68.jpg,,11,gid://shopify/Product/15821911818574,jarni-polibeni-bio-syp-80g,Jarní políbení bio syp. 80g,0.400,gid://shopify/Product/15821911753038,jarni-polibeni-bio-27g-porc-dvoukomorovy,Jarní políbení bio 27g porc. dvoukomorový,0.333,,,,,
krupave-keksy-bio-krabicka,Křupavé keksy bio,https://www.sonnentor.com/cz/product-images/00958/34767/image-thumb__34767__product-teaser-img/00958_krupave_keksy.3d8b9b0f.jpg,,1,gid://shopify/Product/15821914177870,keksy-andel-strazny-bio-125-g,Keksy Anděl strážný® bio 125 g,0.333,gid://shopify/Product/15821906248014,alfalfa-bio-120-g,Alfalfa bio 120 g,0.200,gid://shopify/Product/15821907394894,saturejka-bio-20g,Saturejka bio 20g,0.200,
antimoucha-a-antikomar-etericky-olej-bio,Antimoucha a antikomár,,,1,,,,,,,,,,,,,
lucni-kviti-sypany-bio,Luční kvítí sypané bio balení,https://www.sonnentor.com/cz/product-images/00585/35212/image-thumb__35212__product-teaser-img/00585.17995271.jpg,00585,3,gid://shopify/Product/15821919519054,lucni-kviti-bio-27g-porc-dvoukomorovy,Luční kvítí bio 27g porc. dvoukomorový,0.375,gid://shopify/Product/15821909229902,majoranka-bio-110-g-gastro-baleni,"Majoránka bio 110 g, gastro balení",0.250,gid://shopify/Product/15821907198286,kmin-bio-cely-600-g-gastro-baleni,"Kmín bio, celý 600 g, gastro balení",0.222,
zakratko-maminkou-caj-bio-porcovany-jednokomorovy,Zakrátko maminkou,,,1,gid://shopify/Product/15821922992462,zakratko-maminkou-biorarasci-bio-216g-porc-dvoukomorovy,"Zakrátko maminkou® Biorarášci bio 21,6g porc. dvoukomorový",0.250,,,,,,,,,
cejkovicky-ledacek-bio-pyramidalni-sacky,Čejkovický leďáček bio pyramidální sáčky,https://www.sonnentor.com/cz/product-images/33278/65433/image-thumb__65433__product-teaser-img/33278.bf1509a0.jpg,33278,1,,,,,,,,,,,,,
kukuricne-krupky-bio-baleni,Kukuřičné křupky bio,https://www.sonnentor.com/cz/product-images/00966/72441/image-thumb__72441__product-teaser-img/00966.bccbdf3e.jpg,00966,4,gid://shopify/Product/15821906248014,alfalfa-bio-120-g,Alfalfa bio 120 g,0.200,gid://shopify/Product/15821907394894,saturejka-bio-20g,Saturejka bio 20g,0.200,gid://shopify/Product/15821907427662,petrzel-bio-15g,Petržel bio 15g,0.200,
raraskovy-kakaove-keksy-s-kokosovym-cukrem-bio-krabicka,Kakaové keksy s kokosovým cukrem bio,https://www.sonnentor.com/cz/product-images/00960/35002/image-thumb__35002__product-teaser-img/00960.9d6164fe.jpg,00960,4,gid://shopify/Product/15821914177870,keksy-andel-strazny-bio-125-g,Keksy Anděl strážný® bio 125 g,0.250,,,,,,,,,
etericke-oleje,pár kapek esenciálního oleje,,,5,,,,,,,,,,,,,
jeziskuv-nebesky-caj-bio-porcovany-dvoukomorovy,Ježíškův nebeský čaj,https://www.sonnentor.com/cz/product-images/02539/34061/image-thumb__34061__product-teaser-img/02539.8928d2c3.jpg,02539,3,gid://shopify/Product/15821928071502,jeziskuv-nebesky-caj-bio-60-g-syp,Ježíškův nebeský® čaj bio 60 g syp.,0.500,gid://shopify/Product/15821928202574,jeziskuv-nebesky-caj-bio-27-g-porc-dvoukomorovy,"Ježíškův nebeský® čaj bio 27 g, porc. dvoukomorový",0.429,,,,,
zimni-noc-etericky-olej-bio,esenciálního oleje ze skořicové kůry,,,2,,,,,,,,,,,,,
jemny-kurkumovy-sen-bio-porcovany-dvoukomorovy,Jemný kurkumový sen bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02523/34952/image-thumb__34952__product-teaser-img/02523.e5005a74.jpg,02523,7,gid://shopify/Product/15821917618510,zlaty-kurkumovy-sen-bio-36-g-porc-dvoukomorovy,Zlatý kurkumový sen bio 36 g porc. dvoukomorový,0.444,gid://shopify/Product/15821908607310,ovocny-sen-bio-45-g-porc-dvoukomorovy,"Ovocný sen bio 45 g, porc. dvoukomorový",0.333,gid://shopify/Product/15821917552974,zlaty-kurkumovy-sen-bio-syp-120g,Zlatý kurkumový sen bio syp. 120g,0.333,
vonavy-kurkumovy-sen-bio-porcovany-dvoukomorovy,Voňavý kurkumový sen bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02518/34960/image-thumb__34960__product-teaser-img/02518.0ecb1a97.jpg,02518,7,gid://shopify/Product/15821917618510,zlaty-kurkumovy-sen-bio-36-g-porc-dvoukomorovy,Zlatý kurkumový sen bio 36 g porc. dvoukomorový,0.444,gid://shopify/Product/15821908607310,ovocny-sen-bio-45-g-porc-dvoukomorovy,"Ovocný sen bio 45 g, porc. dvoukomorový",0.333,gid://shopify/Product/15821917552974,zlaty-kurkumovy-sen-bio-syp-120g,Zlatý kurkumový sen bio syp. 120g,0.333,
vonavy-kurkumovy-sen-sypany-bio,Voňavý kurkumový sen sypaný bio balení,https://www.sonnentor.com/cz/product-images/00587/34958/image-thumb__34958__product-teaser-img/00587.8a8ca0db.jpg,00587,5,gid://shopify/Product/15821917552974,zlaty-kurkumovy-sen-bio-syp-120g,Zlatý kurkumový sen bio syp. 120g,0.333,gid://shopify/Product/15821917618510,zlaty-kurkumovy-sen-bio-36-g-porc-dvoukomorovy,Zlatý kurkumový sen bio 36 g porc. dvoukomorový,0.300,gid://shopify/Product/15821908640078,ovocny-sen-bio-syp-100g,Ovocný sen bio syp. 100g,0.222,
jemny-kurkumovy-sen-sypany-bio,Jemný kurkumový sen sypaný bio balení,https://www.sonnentor.com/cz/product-images/00588/35278/image-thumb__35278__product-teaser-img/00588.a80802ea.jpg,00588,6,gid://shopify/Product/15821917552974,zlaty-kurkumovy-sen-bio-syp-120g,Zlatý kurkumový sen bio syp. 120g,0.333,gid://shopify/Product/15821917618510,zlaty-kurkumovy-sen-bio-36-g-porc-dvoukomorovy,Zlatý kurkumový sen bio 36 g porc. dvoukomorový,0.300,gid://shopify/Product/15821908640078,ovocny-sen-bio-syp-100g,Ovocný sen bio syp. 100g,0.222,
darkovy-poukaz-dekuji,Dárkový poukaz Vše nej,https://www.sonnentor.com/cz/product-images/44014/60757/image-thumb__60757__product-teaser-img/44014.a18e6145.jpg,44014,4,,,,,,,,,,,,,
bio-zrnkova-kava,kvalitní kávy,,,2,,,,,,,,,,,,,
videnske-pokuseni-r-melange-prazena-kava-mleta-bio,bez kofeinu,https://www.sonnentor.com/cz/product-images/01104/83158/image-thumb__83158__product-teaser-img/01104.970114f2.jpg,01104,3,,,,,,,,,,,,,
keksy,sladkou dobrůtkou,,,1,,,,,,,,,,,,,
vsechno-nejlepsi-sypany-bio,Všechno nejlepší sypaný bio balení,https://www.sonnentor.com/cz/product-images/00573/34894/image-thumb__34894__product-teaser-img/00573.2c2b6d27.jpg,00573,2,gid://shopify/Product/15821933707598,pohlednice-vsechno-nejlepsi,Pohlednice Všechno nejlepší,0.333,gid://shopify/Product/15821909229902,majoranka-bio-110-g-gastro-baleni,"Majoránka bio 110 g, gastro balení",0.250,gid://shopify/Product/15821907198286,kmin-bio-cely-600-g-gastro-baleni,"Kmín bio, celý 600 g, gastro balení",0.222,
pro-babicku-bio-porcovany-dvoukomorovy,Pro babičku bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/33252/35290/image-thumb__35290__product-teaser-img/77224.f32fcf42.jpg,77224,1,gid://shopify/Product/15821933609294,slunecni-pozdrav-pro-babicku-bio-45-g-porc-dvoukomorovy,Sluneční pozdrav pro babičku bio 45 g porc. dvoukomorový,0.444,gid://shopify/Product/15821914079566,pro-klid-zeny-bio-27g-porc-dvoukomorovy,Pro klid ženy bio 27g porc. dvoukomorový,0.333,gid://shopify/Product/15821914112334,pro-dobry-pocit-v-brise-bio-27g-porcdvoukomorovy,Pro dobrý pocit v břiše bio 27g porc.dvoukomorový,0.300,
pro-dedecka-bio-porcovany-dvoukomorovy,Pro dědečka bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/33253/35292/image-thumb__35292__product-teaser-img/77225.c77c36d2.jpg,77225,1,gid://shopify/Product/15821933576526,dobra-nalada-pro-dedecka-bio-27-g-porc-dvoukomorovy,Dobrá nálada pro dědečka bio 27 g porc. dvoukomorový,0.444,gid://shopify/Product/15821914079566,pro-klid-zeny-bio-27g-porc-dvoukomorovy,Pro klid ženy bio 27g porc. dvoukomorový,0.333,gid://shopify/Product/15821914112334,pro-dobry-pocit-v-brise-bio-27g-porcdvoukomorovy,Pro dobrý pocit v břiše bio 27g porc.dvoukomorový,0.300,
zeleny-caj-stesti-bio-porcovany-dvoukomorovy,Zelený čaj - štěstí bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02224/34672/image-thumb__34672__product-teaser-img/02224.133e1ad9.jpg,02224,2,gid://shopify/Product/15821908509006,caj-stesti-bio-27-g-porc-dvoukomorovy,Čaj štěstí bio 27 g porc. dvoukomorový,0.500,gid://shopify/Product/15821936099662,caj-stesti-z-prahy-bio-27-g-porc-dvoukomorovy,Čaj štěstí z Prahy bio 27 g porc. dvoukomorový,0.444,gid://shopify/Product/15821936132430,caj-stesti-z-brna-bio-27-g-porc-dvoukomorovy,Čaj štěstí z Brna bio 27 g porc. dvoukomorový,0.444,
darkova-baleni,dárkovým kazetám,,,2,,,,,,,,,,,,,
pikantni-koreni-na-pomazanky-bio-krabicka2,Pikantní koření na pomazánky bio krabička,https://www.sonnentor.com/cz/product-images/00978/72381/image-thumb__72381__product-teaser-img/00978.48f66506.jpg,00978,4,gid://shopify/Product/15821925253454,bylinkove-koreni-na-pomazanky-bio-50g,Bylinkové koření na pomazánky bio 50g,0.500,gid://shopify/Product/15821922763086,koreni-na-vejce-bio-70g,Koření na vejce bio 70g,0.375,gid://shopify/Product/15821933314382,koreni-na-burger-bio-60-g,Koření na burger bio 60 g,0.375,
stesti-je-otevrit-oci-dokoran-bio-porcovany-dvoukomorovy,Štěstí je® otevřít oči dokořán bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02588/35188/image-thumb__35188__product-teaser-img/02588.b3e03170.jpg,02588,7,gid://shopify/Product/15821918110030,stesti-je-poznat-zivot-bio-27-g-porc-dvoukomorovy,Štěstí je® poznat život bio 27 g porc. dvoukomorový,0.333,gid://shopify/Product/15821918961998,stesti-je-mit-pratele-bio-27-g-porc-dvoukomorovy,Štěstí je® mít přátele bio 27 g porc. dvoukomorový,0.333,gid://shopify/Product/15821919060302,stesti-je-heavy-metal-bio-27-g-porc-dvoukomorovy,Štěstí je® Heavy Metal bio 27 g porc. dvoukomorový,0.333,
stesti-je-blaznive-milovat-bio-porcovany-dvoukomorovy,Štěstí je® bláznivě milovat bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02589/35166/image-thumb__35166__product-teaser-img/02589.23e3a4af.jpg,02589,5,gid://shopify/Product/15821918110030,stesti-je-poznat-zivot-bio-27-g-porc-dvoukomorovy,Štěstí je® poznat život bio 27 g porc. dvoukomorový,0.364,gid://shopify/Product/15821918961998,stesti-je-mit-pratele-bio-27-g-porc-dvoukomorovy,Štěstí je® mít přátele bio 27 g porc. dvoukomorový,0.364,gid://shopify/Product/15821919060302,stesti-je-heavy-metal-bio-27-g-porc-dvoukomorovy,Štěstí je® Heavy Metal bio 27 g porc. dvoukomorový,0.364,
hermanek-pure-bio-pyramidalni-sacky,Heřmánek PURE bio pyramidální sáčky,https://www.sonnentor.com/cz/product-images/08512/35034/image-thumb__35034__product-teaser-img/08512.4df9f3e9.jpg,08512,1,gid://shopify/Product/15821906346318,hermanek-bio-syp-50g,Heřmánek bio syp. 50g,0.286,gid://shopify/Product/15821906313550,hermanek-bio-144g-porc-dvoukomorovy,"Heřmánek bio 14,4g porc. dvoukomorový",0.222,,,,,
ocista-docista-koreni-bio-krabicka,Očista dočista bio krabička,https://www.sonnentor.com/cz/product-images/00836/34977/image-thumb__34977__product-teaser-img/00836.f42e7354.jpg,00836,1,gid://shopify/Product/15821914046798,ocista-duse-bio-27-g-porc-dvoukomorovy,"Očista duše bio 27 g, porc. dvoukomorový",0.250,,,,,,,,,
postni-cas-bylinna-smes-bio-porcovany-jednokomorovy,Postní čas bio porcovaný jednokomorový,https://www.sonnentor.com/cz/product-images/02576/34972/image-thumb__34972__product-teaser-img/postni_cas_bio_porc_darkovy_20g_800x600.44e820a5.jpg,,1,gid://shopify/Product/15821922566478,postni-cas-bio-27-g-porc-dvoukomorovy,Postní čas bio 27 g porc. dvoukomorový,0.375,gid://shopify/Product/15821920600398,cas-promeny-bio-27g-porc-dvoukomorovy,Čas proměny bio 27g porc. dvoukomorový,0.222,,,,,
salvej-bio-krabicka2,Šalvěj bio krabička,https://www.sonnentor.com/cz/product-images/00899/61445/image-thumb__61445__product-teaser-img/00899.584453d3.jpg,00899,4,gid://shopify/Product/15821911687502,salvej-bio-syp-50g,Šalvěj bio syp. 50g,0.400,gid://shopify/Product/15821916701006,salvej-bio-18-g-porc-dvoukomorovy,Šalvěj bio 18 g porc. dvoukomorový,0.333,gid://shopify/Product/15821935149390,tymian-cerny-bez-salvej-bio-234-g-porc-dvoukomorovy,"Tymián Černý bez Šalvěj bio 23,4 g, porc. dvoukomorový",0.222,
mak-modry-bio-krabicka,mák,,,1,,,,,,,,,,,,,
adventni-etericky-olej-bio,Ukázat detaily,https://www.sonnentor.com/cz/product-images/15076/33789/image-thumb__33789__product-teaser-img/15076.8a16e38b.jpg,15076,3,,,,,,,,,,,,,
relaxacni-caj-sv-hild-sypany-bio-krabicka,Relaxační sypaný bio,https://www.sonnentor.com/cz/product-images/00411/33217/image-thumb__33217__product-teaser-img/00411_relaxacni_caj_hildegarda.4ac31bfd.jpg,,1,gid://shopify/Product/15821906248014,alfalfa-bio-120-g,Alfalfa bio 120 g,0.200,gid://shopify/Product/15821907394894,saturejka-bio-20g,Saturejka bio 20g,0.200,gid://shopify/Product/15821907427662,petrzel-bio-15g,Petržel bio 15g,0.200,
chytra-hlavicka-bio-baleni,Chytrá hlavička,https://www.sonnentor.com/cz/product-images/15079/72327/image-thumb__72327__product-teaser-img/15079.7d4f3678.jpg,15079,2,gid://shopify/Product/15821934592334,chytra-hlavicka-etericky-olej-bio-10-ml,Chytrá hlavička éterický olej bio 10 ml,0.286,,,,,,,,,
leharko-etericky-olej-bio-baleni,Lehárko,https://www.sonnentor.com/cz/product-images/15078/72328/image-thumb__72328__product-teaser-img/15078.a5814a11.jpg,15078,2,,,,,,,,,,,,,
dobra-nalada-etericky-olej-bio,Dobrá nálada,https://www.sonnentor.com/cz/product-images/15066/33966/image-thumb__33966__product-teaser-img/15066.78c0f935.jpg,15066,2,gid://shopify/Product/15821907067214,dobra-nalada-bio-syp-50g,Dobrá nálada® bio syp. 50g,0.400,gid://shopify/Product/15821929447758,sonnentor-taska-z-biobavlny-dobra-nalada,Sonnentor taška z biobavlny Dobrá nálada,0.400,gid://shopify/Product/15821907034446,dobra-nalada-bio-27g-porc-dvoukomorovy,Dobrá nálada® bio 27g porc. dvoukomorový,0.333,
cerny-kmin-olej-bio,olej z černého kmínu,https://www.sonnentor.com/cz/product-images/00843/59693/image-thumb__59693__product-teaser-img/00843_cerny%20kmin_olej%20%281%29.28f797e8.jpg,,1,,,,,,,,,,,,,
tymian-olej-bio-50ml-bio,Za studena lisovaný olej,,,1,,,,,,,,,,,,,
konopi-cbd-bio-porcovany-dvoukomorovy,Konopí CBD bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02637/60578/image-thumb__60578__product-teaser-img/02637.f2654326.jpg,02637,1,gid://shopify/Product/15821920960846,konopi-list-bio-27g-porc-dvoukomorovy,Konopí list bio 27g porc. dvoukomorový,0.375,gid://shopify/Product/15821909852494,kuc-kuc-bio-27g-porcdvoukomorovy,Kuc - kuc® bio 27g porc.dvoukomorový,0.250,gid://shopify/Product/15821911261518,dekuji-bio-27g-porc-dvoukomorovy,Děkuji bio 27g porc. dvoukomorový,0.250,
konopi-cbd-sypane-bio-baleni,Konopí CBD sypané bio balení,https://www.sonnentor.com/cz/product-images/00637/60579/image-thumb__60579__product-teaser-img/00637.bf049e19.jpg,00637,1,gid://shopify/Product/15821909229902,majoranka-bio-110-g-gastro-baleni,"Majoránka bio 110 g, gastro balení",0.250,gid://shopify/Product/15821921190222,konopi-list-bio-syp-40g,Konopí list bio syp. 40g,0.250,gid://shopify/Product/15821907198286,kmin-bio-cely-600-g-gastro-baleni,"Kmín bio, celý 600 g, gastro balení",0.222,
kava-videnske-pokuseni-espresso-zrnkova-bio-baleni,Káva Vídeňské pokušení Espresso zrnková bio balení,https://www.sonnentor.com/cz/product-images/01095/33577/image-thumb__33577__product-teaser-img/01095.4308b12e.png,01095,1,gid://shopify/Product/15821927514446,kava-videnske-pokuseni-espresso-bio-prazena-zrnkova-1000-g,"Káva Vídeňské pokušení® Espresso bio, pražená, zrnková 1000 g",0.667,gid://shopify/Product/15821927645518,kava-videnske-pokuseni-espresso-bio-prazena-zrnkova-500-g,"Káva Vídeňské pokušení® Espresso bio, pražená, zrnková 500 g",0.667,gid://shopify/Product/15821927219534,kava-videnske-pokuseni-melange-bio-prazena-zrnkova-500-g,"Káva Vídeňské pokušení® Melange bio, pražená, zrnková 500 g",0.500,
vse-zase-dobre-poznavaci-sada-bio-porcovany-dvoukomorovy2,Vše zase dobré! poznávací sada bio Poznávací sada,https://www.sonnentor.com/cz/product-images/02708/34325/image-thumb__34325__product-teaser-img/02708.7b7e0288.jpg,02708,2,gid://shopify/Product/15821914571086,s-korenim-kolem-sveta-poznavaci-sada-bio-50g,S kořením kolem světa – poznávací sada bio 50g,0.300,gid://shopify/Product/15821935018318,ovocna-poznavaci-sada-bio-484-g-porc-dvoukomorovy,"Ovocná poznávací sada bio 48,4 g porc. dvoukomorový",0.300,gid://shopify/Product/15821935247694,grilovaci-sada-bio,Grilovací sada bio,0.286,
tonkove-boby-cele-bio-krabicka,Tonkové boby celé bio krabička,https://www.sonnentor.com/cz/product-images/00665/60565/image-thumb__60565__product-teaser-img/00665.ae5dbbd7.jpg,00665,4,gid://shopify/Product/15821932298574,tonkove-boby-bio-mlete-35-g,"Tonkové boby bio, mleté 35 g",0.429,gid://shopify/Product/15821909786958,nove-koreni-bio-cele-35g,"Nové koření bio, celé 35g",0.250,,,,,
spokojene-brisko-koreni-bio-krabicka,,,,1,,,,,,,,,,,,,
