sourceHandle,sourceTitle,sourceImage,sourceCode,resolvedGid,resolvedHandle,resolvedTitle,method,referenceCount
pepr-zeleny-cely-bio-krabicka,Pepř zelený celý bio krabička,https://www.sonnentor.com/cz/product-images/00723/33568/image-thumb__33568__product-teaser-img/00723.c0855ac8.jpg,00723,gid://shopify/Product/15821929644366,pepr-zeleny-bio-20-g-cely,"Pepř zelený bio 20 g, celý",title-fuzzy-0.67,3
vanilka-extrakt-etericky-olej-bio2,Vanilka extrakt éterický olej bio balení,https://www.sonnentor.com/cz/product-images/17053/60598/image-thumb__60598__product-teaser-img/17053.89734709.jpg,17053,gid://shopify/Product/15821934133582,vanilka-extrakt-bio-etericky-olej-5-ml,"Vanilka extrakt bio, éterický olej 5 ml",title-fuzzy-0.71,3
garam-masala-bio-krabicka,Garam masala bio krabička,https://www.sonnentor.com/cz/product-images/00724/34208/image-thumb__34208__product-teaser-img/00724.7b053b70.jpg,00724,gid://shopify/Product/15821929808206,garam-masala-bio-55-g,Garam Masala bio 55 g,title-fuzzy-0.60,4
sonnentor-taska-z-biobavlny-bylinky-bio,SONNENTOR taška z biobavlny Bylinky bio,https://www.sonnentor.com/cz/product-images/33450/87498/image-thumb__87498__product-teaser-img/33450%20.89f6b71b.jpg,,gid://shopify/Product/15821929546062,sonnentor-taska-z-biobavlny-bylinky,Sonnentor taška z biobavlny Bylinky,title-fuzzy-0.80,1
sonnentor-taska-z-biobavlny-dobra-nalada-bio,"SONNENTOR taška z biobavlny ""Dobrá nálada"" bio",https://www.sonnentor.com/cz/product-images/33449/87496/image-thumb__87496__product-teaser-img/33449%20.f466dae0.jpg,,gid://shopify/Product/15821929447758,sonnentor-taska-z-biobavlny-dobra-nalada,Sonnentor taška z biobavlny Dobrá nálada,title-fuzzy-0.83,2
kytice-chuti-poznavaci-sada-smesi-kvetu-a-koreni-bio,"Kytice chutí – poznávací sada, směsi květů a koření bio",https://www.sonnentor.com/cz/product-images/00980/72572/image-thumb__72572__product-teaser-img/00980.11b8ae84.jpg,00980,gid://shopify/Product/15821925548366,kytice-chuti-poznavaci-sada-bio-smesi-kvetu-a-koreni-50g,"Kytice chutí poznávací sada bio, směsi květů a koření 50g",image-code,5
darkova-baleni-2-caju-velikonoce-bio,Dárkové balení 2 čajů – Velikonoce bio,https://www.sonnentor.com/cz/product-images/33318/62217/image-thumb__62217__product-teaser-img/33318_Da%CC%81rkove%CC%81%20baleni%CC%81%202%20c%CC%8Caju%CC%8A%20%E2%80%93%20Velikonoce_redesign.98d02c2b.jpg,,gid://shopify/Product/15821922402638,darkove-baleni-2-caju-velikonoce,Dárkové balení 2 čajů - Velikonoce,title-fuzzy-0.80,5
koreni-na-vejce-bio-dozicka,Koření na vejce bio dózička,https://www.sonnentor.com/cz/product-images/07692/66185/image-thumb__66185__product-teaser-img/07692.74dc3816.jpg,07692,gid://shopify/Product/15821922763086,koreni-na-vejce-bio-70g,Koření na vejce bio 70g,title-fuzzy-0.67,3
andel-strazny-bio,Anděl strážný bio,https://www.sonnentor.com/cz/product-images/15207/98174/image-thumb__98174__product-teaser-img/15207.be405ba4.jpg,15207,gid://shopify/Product/15821934788942,andel-strazny-etericky-olej-bio-10-ml,Anděl strážný éterický olej bio 10 ml,image-code,5
keramicke-vonne-slunicko-se-snurkou,Keramické vonné sluníčko se šňůrkou divoký sběr,https://www.sonnentor.com/cz/product-images/50200/33791/image-thumb__33791__product-teaser-img/50200.895c0a4e.jpg,50200,gid://shopify/Product/15821910933838,keramicke-vonne-slunicko-se-snurkou,Keramické vonné sluníčko se šňůrkou,image-code,3
harmonie-bio,Harmonie bio,https://www.sonnentor.com/cz/product-images/15217/98172/image-thumb__98172__product-teaser-img/15217.e5ecd758.jpg,15217,gid://shopify/Product/15821934690638,harmonie-etericky-olej-bio-10-ml,Harmonie éterický olej bio 10 ml,image-code,5
dobra-nalada-etericky-olej-bio2,Dobrá nálada bio,https://www.sonnentor.com/cz/product-images/15206/98084/image-thumb__98084__product-teaser-img/15206.445e9600.jpg,15206,gid://shopify/Product/15821934854478,dobra-nalada-etericky-olej-bio-10-ml,Dobrá nálada éterický olej bio 10 ml,image-code,4
raraskuv-smaltovany-hrnicek,Raráškův smaltovaný hrníček,https://www.sonnentor.com/cz/product-images/33380/76112/image-thumb__76112__product-teaser-img/33380.fbb19310.jpg,33380,gid://shopify/Product/15821925941582,raraskuv-smaltovany-hrnicek-300-ml,"Raráškův smaltovaný hrníček, 300 ml",image-code,1
pomerancovy-caj-sypany-bio2,Pomerančový čaj,https://www.sonnentor.com/cz/product-images/00554/33518/image-thumb__33518__product-teaser-img/00554.0388c090.jpg,00554,gid://shopify/Product/15821910114638,pomerancovy-caj-bio-syp-100g,Pomerančový čaj bio syp. 100g,image-code,3
zimni-noc-sypana-bio-baleni,Zimní noc,https://www.sonnentor.com/cz/product-images/01203/86158/image-thumb__86158__product-teaser-img/01203.6e919252.jpg,01203,gid://shopify/Product/15821928333646,zimni-noc-bio-100-g-syp,Zimní noc bio 100 g syp.,image-code,5
lucni-kviti-bio-porcovany-dvoukomorovy,Luční kvítí bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02585/35214/image-thumb__35214__product-teaser-img/02585_lucni_kviti_new.ed09f865.jpg,,gid://shopify/Product/15821919519054,lucni-kviti-bio-27g-porc-dvoukomorovy,Luční kvítí bio 27g porc. dvoukomorový,title-fuzzy-0.57,4
velikonocni-nadilka-bio-porcovany-dvoukomorovy,Velikonoční nadílka,https://www.sonnentor.com/cz/product-images/01312/118843/image-thumb__118843__product-teaser-img/01312.7487648a.jpg,01312,gid://shopify/Product/15821936296270,velikonocni-nadilka-bio-324-g-porc-dvoukomorovy,"Velikonoční nadílka bio 32,4 g, porc. dvoukomorový",image-code,2
videnske-pokuseni-r-melange-prazena-kava-mleta-bio-baleni,Vídeňské pokušení® Melange pražená káva mletá bio,https://www.sonnentor.com/cz/product-images/01100/83152/image-thumb__83152__product-teaser-img/01100.1c186d52.jpg,01100,gid://shopify/Product/15821927416142,kava-videnske-pokuseni-melange-bio-prazena-mleta-500-g,"Káva Vídeňské pokušení® Melange bio, pražená, mletá 500 g",image-code,2
italske-koreni-rezane-bio-krabicka,Italské koření řezané bio krabička,https://www.sonnentor.com/cz/product-images/00776/34466/image-thumb__34466__product-teaser-img/00776.108dca56.jpg,00776,gid://shopify/Product/15821926400334,italske-koreni-bio-20g,Italské koření bio 20g,title-fuzzy-0.50,2
darkovy-box-kouzelny-vanocni-cas,Dárkový box - Kouzelný vánoční čas,https://www.sonnentor.com/cz/product-images/33552/110301/image-thumb__110301__product-teaser-img/33552.ba095cee.jpg,33552,gid://shopify/Product/15821936034126,darkovy-box-kouzelny-vanocni-cas,Dárkový box - Kouzelný vánoční čas,image-code,1
vanilka-lusk-bio-baleni,Vanilka lusk bio,https://www.sonnentor.com/cz/product-images/00395/33204/image-thumb__33204__product-teaser-img/00395.8_vanilka_lusk.18f39989.png,00395,gid://shopify/Product/15821921812814,vanilka-lusk-bio-1-ks,Vanilka lusk bio 1 ks,title-fuzzy-0.75,1
kardamom-mlety-bio-krabicka,Kardamom mletý bio krabička,https://www.sonnentor.com/cz/product-images/00349/33767/image-thumb__33767__product-teaser-img/00349_kardamom_mlety.f77f3a26.jpg,,gid://shopify/Product/15821921386830,kardamom-bio-mlety-50g,"Kardamom bio, mletý 50g",title-fuzzy-0.60,3
novorocni-caj-bio-porcovany-dvoukomorovy,Novoroční čaj bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02521/34950/image-thumb__34950__product-teaser-img/02521.593d83cf.jpg,02521,gid://shopify/Product/15821932757326,novorocni-caj-bio-27-g-porc-dvoukomorovy,"Novoroční čaj® bio 27 g, porc. dvoukomorový",title-fuzzy-0.57,2
bylinna-poznavaci-sada-bio-poznavaci-sada,Bylinná poznávací sada bio Poznávací sada,https://www.sonnentor.com/cz/product-images/02621/72035/image-thumb__72035__product-teaser-img/02621.f10a7853.jpg,02621,gid://shopify/Product/15821923516750,bylinna-poznavaci-sada-bio-285g-porc-dvoukomorovy,"Bylinná poznávací sada bio 28,5g porc. dvoukomorový",image-code,2
ovocna-poznavaci-sada-bio-poznavaci-sada,Ovocná poznávací sada bio Poznávací sada,https://www.sonnentor.com/cz/product-images/02620/72052/image-thumb__72052__product-teaser-img/02620.d0297081.jpg,02620,gid://shopify/Product/15821935018318,ovocna-poznavaci-sada-bio-484-g-porc-dvoukomorovy,"Ovocná poznávací sada bio 48,4 g porc. dvoukomorový",title-fuzzy-0.57,2
ochutnej-poznavaci-sada-bio-poznavaci-sada,Ochutnej poznávací sada bio Poznávací sada,https://www.sonnentor.com/cz/product-images/02619/72051/image-thumb__72051__product-teaser-img/02619.19c715a6.jpg,02619,gid://shopify/Product/15821923418446,ochutnej-poznavaci-sada-bio-344g-porc-dvoukomorovy,"Ochutnej poznávací sada bio 34,4g porc. dvoukomorový",image-code,2
s-korenim-kolem-sveta-poznavaci-sada-bio-krabicka,S kořením kolem světa – poznávací sada bio,https://www.sonnentor.com/cz/product-images/00766/34425/image-thumb__34425__product-teaser-img/00766.a0f0cedb.jpg,00766,gid://shopify/Product/15821914571086,s-korenim-kolem-sveta-poznavaci-sada-bio-50g,S kořením kolem světa – poznávací sada bio 50g,image-code,1
jogurtove-ovoce-zele-s-jogurtem-a-ovocnou-prichuti-bio-velke-baleni,Jogurtové ovoce – želé s jogurtem a ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/09969/72101/image-thumb__72101__product-teaser-img/09969.875d672f.jpg,09969,gid://shopify/Product/15821924434254,jogurtove-ovoce-zele-s-jogurtem-a-ovocnou-prichuti-bio-1kg,Jogurtové ovoce - želé s jogurtem a ovocnou příchutí bio 1kg,image-code,2
ovoce-zele-s-ovocnou-prichuti-bio-velke-baleni,Ovoce - želé s ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/09970/72102/image-thumb__72102__product-teaser-img/09970.540aaa36.jpg,09970,gid://shopify/Product/15821924073806,ovoce-zele-s-ovocnou-prichuti-bio-100g,Ovoce - želé s ovocnou příchutí bio 100g,title-fuzzy-0.83,1
ovocni-medvidci-zele-s-ovocnou-prichuti-bio-velke-baleni,Ovocní medvídci - želé s ovocnou příchutí bio,https://www.sonnentor.com/cz/product-images/09971/72103/image-thumb__72103__product-teaser-img/09971.ff8234bd.jpg,09971,gid://shopify/Product/15821924270414,ovocni-medvidci-zele-s-ovocnou-prichuti-bio-1kg,Ovocní medvídci - želé s ovocnou příchutí bio 1kg,image-code,2
dobrodruzstvi-biorarasku-brozura,Dobrodružství biorarášků - brožura,https://www.sonnentor.com/cz/product-images/33445/87286/image-thumb__87286__product-teaser-img/33445.74df751c.jpg,33445,gid://shopify/Product/15821929349454,dobrodruzstvi-biorarasku-brozura,Dobrodružství biorarášků brožura,image-code,2
sonnentor-adventni-kalendar-r-koreni-bio-baleni,SONNENTOR Adventní kalendář® koření bio,https://www.sonnentor.com/cz/product-images/01300/85867/image-thumb__85867__product-teaser-img/01300.2dabe393.jpg,01300,gid://shopify/Product/15821928825166,adventni-kalendar-koreni-bio-118-g,Adventní kalendář koření bio 118 g,image-code,2
videnske-pokuseni-r-melange-prazena-kava-zrnkova-bio-baleni,Vídeňské pokušení® Melange pražená káva zrnková bio,https://www.sonnentor.com/cz/product-images/01101/83148/image-thumb__83148__product-teaser-img/01101.170a9053.jpg,01101,gid://shopify/Product/15821927219534,kava-videnske-pokuseni-melange-bio-prazena-zrnkova-500-g,"Káva Vídeňské pokušení® Melange bio, pražená, zrnková 500 g",image-code,3
svezi-lady-green-bio-baleni,Svěží Lady Green bio balení,https://www.sonnentor.com/cz/product-images/01222/88812/image-thumb__88812__product-teaser-img/01222.cd0795a8.jpg,01222,gid://shopify/Product/15821931086158,svezi-lady-green-bio-ochuceny-zeleny-caj-90-g-syp,"Svěží Lady Green bio, ochucený zelený čaj, 90 g  syp.",image-code,2
pomerancovy-caj-bio-porcovany-dvoukomorovy,Postní čas,https://www.sonnentor.com/cz/product-images/02309/90827/image-thumb__90827__product-teaser-img/02309.627365a1.jpg,02309,gid://shopify/Product/15821932036430,pomerancovy-caj-bio-324-g-porc-dvoukomorovy,"Pomerančový čaj bio 32,4 g, porc. dvoukomorový",image-code,2
koreni-do-svareneho-cerveneho-vina-bio-porcovany-dvoukomorovy,Koření do svařeného červeného vína bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02578/34503/image-thumb__34503__product-teaser-img/02578.af610f92.jpg,02578,gid://shopify/Product/15821928595790,koreni-do-svareneho-cerveneho-vina-bio-324-g-porc-dvoukomorovy,"Koření do svařeného červeného vína bio 32,4 g, porc. dvoukomorový",title-fuzzy-0.70,1
skorice-cejlon-mleta-bio-dozicka,Skořice Cejlon mletá bio dózička,https://www.sonnentor.com/cz/product-images/07734/33126/image-thumb__33126__product-teaser-img/07334.39f0ba58.jpg,07334,gid://shopify/Product/15821907624270,skorice-cejlon-bio-mleta-40g,"Skořice Cejlon bio, mletá 40g",title-fuzzy-0.67,1
koreni-na-pizzu-a-testoviny-bio-krabicka,Koření na pizzu a těstoviny bio krabička,https://www.sonnentor.com/cz/product-images/00358/33156/image-thumb__33156__product-teaser-img/00358.c846e408.jpg,00358,gid://shopify/Product/15821925712206,koreni-na-pizzu-a-testoviny-bio-20g,Koření na pizzu a těstoviny bio 20g,title-fuzzy-0.71,2
dobra-nalada-smes-kvetu-a-koreni-bio-dozicka,Dobrá nálada – směs květů a koření bio dózička,https://www.sonnentor.com/cz/product-images/07377/33450/image-thumb__33450__product-teaser-img/07377.0c0878a9.jpg,07377,gid://shopify/Product/15821909721422,dobra-nalada-smes-kvetu-a-koreni-bio-25g-dozicka,Dobrá nálada - směs květů a koření bio 25g dózička,image-code,1
vse-v-zelenem-salatove-koreni-bio-krabicka,"Vše v zeleném, salátové koření bio krabička",https://www.sonnentor.com/cz/product-images/00737/34035/image-thumb__34035__product-teaser-img/00737_vse_v_zelenem.45303545.jpg,,gid://shopify/Product/15821922074958,vse-v-zelenem-salatove-koreni-bio-15g,"Vše v zeleném, salátové koření bio 15g",title-fuzzy-0.71,1
selske-koreni-na-brambory-bio-dozicka,Selské koření na brambory bio dózička,https://www.sonnentor.com/cz/product-images/07765/34408/image-thumb__34408__product-teaser-img/07765.b2868d79.jpg,07765,gid://shopify/Product/15821926465870,selske-koreni-na-brambory-bio-25g,Selské koření na brambory bio 25g,title-fuzzy-0.71,1
prirozene-horke-spej-bio,"Přirozeně hořké, sprej bio",https://www.sonnentor.com/cz/product-images/01287/102391/image-thumb__102391__product-teaser-img/01287.4b5244a9.jpg,01287,gid://shopify/Product/15821935575374,prirozene-horke-sprej-bio-50-ml,"Přirozeně hořké, sprej bio 50 ml",image-code,1
pekne-odpoledne-bylinny-caj-sypany-bio,Pěkné odpoledne,https://www.sonnentor.com/cz/product-images/00538/34148/image-thumb__34148__product-teaser-img/00538.06f0b616.jpg,00538,gid://shopify/Product/15821913260366,pekne-odpoledne-bio-syp-50g,Pěkné odpoledne bio syp. 50g,image-code,3
kurkuma-mleta-bio-gastro-doza-velka,Kurkuma mletá bio gastro dóza velká,https://www.sonnentor.com/cz/product-images/98705/33150/image-thumb__33150__product-teaser-img/98705.54a85c95.jpg,98705,gid://shopify/Product/15821932822862,kurkuma-bio-mleta-500g-gastro-baleni,"Kurkuma bio, mletá 500g, gastro balení",title-fuzzy-0.50,1
vse-v-zelenem-salatove-koreni-bio-dozicka,"Vše v zeleném, salátové koření bio dózička",https://www.sonnentor.com/cz/product-images/07737/34031/image-thumb__34031__product-teaser-img/07737.9_vse_v_zelenem_salatove_koreni.f85c79e1.png,07737,gid://shopify/Product/15821922074958,vse-v-zelenem-salatove-koreni-bio-15g,"Vše v zeleném, salátové koření bio 15g",title-fuzzy-0.71,1
curry-ostre-bio-krabicka,Curry ostré bio krabička,https://www.sonnentor.com/cz/product-images/00387/33454/image-thumb__33454__product-teaser-img/00387_curry_ostre.75e18d37.jpg,,gid://shopify/Product/15821921911118,curry-ostre-bio-50g,Curry ostré bio 50g,title-fuzzy-0.60,1
